Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Unnamed_23,Exists,49.3992,,60.49831,-148.958038,2014-12-01,52.53,AK,Alaska
Unnamed_23,Exists,49.3992,,60.49831,-148.958038,2014-12-01,52.53,NE,Nebraska
Twentymile Glacier,Exists,24.3524,,60.92986,-148.670583,2014-12-01,52.53,CA,California
Twentymile Glacier,Exists,24.3524,,60.92986,-148.670583,2014-12-01,52.53,AK,Alaska
Lafayette Glacier,Exists,7.05684,,60.999145,-147.78333,2014-12-01,52.53,AK,Alaska
Woodworth Glacier,Exists,166.106,,60.87851,-145.482329,2014-12-01,52.53,AK,Alaska
Woodworth Glacier,Exists,166.106,,60.87851,-145.482329,2014-12-01,52.53,AL,Alabama
Woodworth Glacier,Exists,166.106,,60.87851,-145.482329,2014-12-01,52.53,NC,North Carolina
Woodworth Glacier,Exists,166.106,,60.87851,-145.482329,2014-12-01,52.53,NM,New Mexico
Woodworth Glacier,Exists,166.106,,60.87851,-145.482329,2014-12-01,52.53,IL,Illinois
Woodworth Glacier,Exists,166.106,,60.87851,-145.482329,2014-12-01,52.53,MD,Maryland
Woodworth Glacier,Exists,166.106,,60.87851,-145.482329,2014-12-01,52.53,SC,South Carolina
Woodworth Glacier,Exists,166.106,,60.87851,-145.482329,2014-12-01,52.53,NE,Nebraska
Childs Glacier,Exists,92.8029,,60.676835,-144.808746,2014-12-01,52.53,AK,Alaska
Childs Glacier,Exists,92.8029,,60.676835,-144.808746,2014-12-01,52.53,AL,Alabama
Childs Glacier,Exists,92.8029,,60.676835,-144.808746,2014-12-01,52.53,NC,North Carolina
Childs Glacier,Exists,92.8029,,60.676835,-144.808746,2014-12-01,52.53,NM,New Mexico
Childs Glacier,Exists,92.8029,,60.676835,-144.808746,2014-12-01,52.53,IL,Illinois
Childs Glacier,Exists,92.8029,,60.676835,-144.808746,2014-12-01,52.53,MD,Maryland
Childs Glacier,Exists,92.8029,,60.676835,-144.808746,2014-12-01,52.53,SC,South Carolina
Childs Glacier,Exists,92.8029,,60.676835,-144.808746,2014-12-01,52.53,NE,Nebraska
Burns Glacier,Exists,9.74594,,60.709863,-148.711934,2014-12-01,52.53,CA,California
Burns Glacier,Exists,9.74594,,60.709863,-148.711934,2014-12-01,52.53,AK,Alaska
Langdon Glacier,Exists,13.0966,,60.415628,-148.613741,2014-12-01,52.53,CA,California
Langdon Glacier,Exists,13.0966,,60.415628,-148.613741,2014-12-01,52.53,AK,Alaska
Cleave Creek Glacier,Exists,25.1893,,61.101294,-145.21073,2014-12-01,52.53,AK,Alaska
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,2014-12-01,52.53,AK,Alaska
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,2014-12-01,52.53,AL,Alabama
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,2014-12-01,52.53,NC,North Carolina
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,2014-12-01,52.53,NM,New Mexico
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,2014-12-01,52.53,IL,Illinois
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,2014-12-01,52.53,MD,Maryland
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,2014-12-01,52.53,SC,South Carolina
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,2014-12-01,52.53,NE,Nebraska
Cordova Glacier,Exists,33.6987,,60.820817,-145.645165,2014-12-01,52.53,AK,Alaska
Cordova Glacier,Exists,33.6987,,60.820817,-145.645165,2014-12-01,52.53,AL,Alabama
Cordova Glacier,Exists,33.6987,,60.820817,-145.645165,2014-12-01,52.53,NC,North Carolina
Cordova Glacier,Exists,33.6987,,60.820817,-145.645165,2014-12-01,52.53,NM,New Mexico
Cordova Glacier,Exists,33.6987,,60.820817,-145.645165,2014-12-01,52.53,IL,Illinois
Cordova Glacier,Exists,33.6987,,60.820817,-145.645165,2014-12-01,52.53,MD,Maryland
Cordova Glacier,Exists,33.6987,,60.820817,-145.645165,2014-12-01,52.53,SC,South Carolina
Cordova Glacier,Exists,33.6987,,60.820817,-145.645165,2014-12-01,52.53,NE,Nebraska
Downer Glacier,Exists,3.96606,,61.264985,-147.615601,2014-12-01,52.53,AK,Alaska
Unnamed_2,Exists,10.5437,,60.989172,-148.688671,2014-12-01,52.53,CA,California
Unnamed_2,Exists,10.5437,,60.989172,-148.688671,2014-12-01,52.53,AK,Alaska
Taylor Glacier,Exists,12.4253,,60.566563,-148.585937,2014-12-01,52.53,CA,California
Taylor Glacier,Exists,12.4253,,60.566563,-148.585937,2014-12-01,52.53,AK,Alaska
McCune Glacier,Exists,9.32884,,60.843644,-144.848869,2014-12-01,52.53,AK,Alaska
Cap Glacier,Exists,1.57789,,60.948213,-147.919786,2014-12-01,52.53,CA,California
Cap Glacier,Exists,1.57789,,60.948213,-147.919786,2014-12-01,52.53,AK,Alaska
Holyoke Glacier,Exists,2.60089,,61.162088,-147.970053,2014-12-01,52.53,AK,Alaska
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,2014-12-01,52.53,AK,Alaska
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,2014-12-01,52.53,AL,Alabama
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,2014-12-01,52.53,NC,North Carolina
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,2014-12-01,52.53,NM,New Mexico
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,2014-12-01,52.53,IL,Illinois
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,2014-12-01,52.53,MD,Maryland
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,2014-12-01,52.53,SC,South Carolina
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,2014-12-01,52.53,NE,Nebraska
Shiels Glacier,Exists,2.5923,,60.863737,-144.784578,2014-12-01,52.53,AK,Alaska
Grinnell Glacier,Exists,6.07452,,60.703131,-144.824007,2014-12-01,52.53,AK,Alaska
Grinnell Glacier,Exists,6.07452,,60.703131,-144.824007,2014-12-01,52.53,AL,Alabama
Grinnell Glacier,Exists,6.07452,,60.703131,-144.824007,2014-12-01,52.53,NC,North Carolina
Grinnell Glacier,Exists,6.07452,,60.703131,-144.824007,2014-12-01,52.53,NM,New Mexico
