,line_type,area,glac_id,anlys_time,db_area,min_elev,mean_elev,max_elev,src_date,glac_name,glac_stat,gone_date,release_dt,first_coordinate,lng,lat,cluster,closest_cluster_lat,closest_cluster_lng
84,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.49203,60.2021",-143.49203,60.2021,49,60.65700723287113,-143.89572442128875
85,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.4669,60.1865",-143.4669,60.1865,49,60.65700723287113,-143.89572442128875
86,dc,0,G218010E60096N,1140987889,27.8374,0,0,0,967753680,White River Glacier,e,e,1141171157,"-142.097207,60.067377",-142.097207,60.067377,16,60.645740069965875,-142.2857271757679
87,dc,0,G218010E60096N,1140987889,27.8374,0,0,0,967753680,White River Glacier,e,e,1141171157,"-142.032306,60.087703",-142.032306,60.087703,16,60.645740069965875,-142.2857271757679
88,dc,0,G218010E60096N,1140987889,27.8374,0,0,0,967753680,White River Glacier,e,e,1141171157,"-142.079632,60.065342",-142.079632,60.065342,16,60.645740069965875,-142.2857271757679
89,dc,0,G218010E60096N,1140987889,27.8374,0,0,0,967753680,White River Glacier,e,e,1141171157,"-142.066364,60.065556",-142.066364,60.065556,16,60.645740069965875,-142.2857271757679
90,dc,0,G218010E60096N,1140987889,27.8374,0,0,0,967753680,White River Glacier,e,e,1141171157,"-142.0532,60.060234",-142.0532,60.060234,16,60.645740069965875,-142.2857271757679
91,dc,0,G218010E60096N,1140987889,27.8374,0,0,0,967753680,White River Glacier,e,e,1141171157,"-142.04214,60.065915",-142.04214,60.065915,16,60.645740069965875,-142.2857271757679
92,dc,0,G216132E60534N,1175042977,349.102,0,0,0,934416000,Martin River Glacier,e,e,1177200000,"-144.03144,60.50256",-144.03144,60.50256,49,60.65700723287113,-143.89572442128875
93,dc,0,G216132E60534N,1175042977,349.102,0,0,0,934416000,Martin River Glacier,e,e,1177200000,"-144.04416,60.49973",-144.04416,60.49973,49,60.65700723287113,-143.89572442128875
94,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.57342,60.45838",-142.57342,60.45838,16,60.645740069965875,-142.2857271757679
95,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.53011,60.48585",-142.53011,60.48585,16,60.645740069965875,-142.2857271757679
96,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.53902,60.47082",-142.53902,60.47082,16,60.645740069965875,-142.2857271757679
97,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.52899,60.46954",-142.52899,60.46954,16,60.645740069965875,-142.2857271757679
98,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.49948,60.47513",-142.49948,60.47513,16,60.645740069965875,-142.2857271757679
99,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.50971,60.47381",-142.50971,60.47381,16,60.645740069965875,-142.2857271757679
100,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.49973,60.48458",-142.49973,60.48458,16,60.645740069965875,-142.2857271757679
101,dc,0,G217909E60160N,1141111164,103.495,0,0,0,967753680,Watson Glacier,e,e,1141171157,"-142.087199,60.206297",-142.087199,60.206297,16,60.645740069965875,-142.2857271757679
102,dc,0,G217793E60273N,1141097988,36.2084,0,0,0,967753680,Leeper Glacier,e,e,1141171157,"-142.339841,60.260135",-142.339841,60.260135,16,60.645740069965875,-142.2857271757679
103,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.678061,60.40427",-143.678061,60.40427,49,60.65700723287113,-143.89572442128875
104,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.77549,60.358818",-143.77549,60.358818,49,60.65700723287113,-143.89572442128875
105,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.821525,60.375378",-143.821525,60.375378,49,60.65700723287113,-143.89572442128875
106,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.815161,60.331304",-143.815161,60.331304,49,60.65700723287113,-143.89572442128875
107,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.761355,60.364077",-143.761355,60.364077,49,60.65700723287113,-143.89572442128875
113,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.58474,60.45594",-142.58474,60.45594,16,60.645740069965875,-142.2857271757679
114,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.80162,60.4459",-142.80162,60.4459,96,60.78060795389049,-143.07006938616715
116,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.62817,60.44779",-142.62817,60.44779,16,60.645740069965875,-142.2857271757679
117,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-142.80154,60.45123",-142.80154,60.45123,96,60.78060795389049,-143.07006938616715
118,dc,0,G218695E60795N,1140938508,126.829,0,0,0,967753680,Logan Glacier,e,e,1141171157,"-141.254512,60.867051",-141.254512,60.867051,50,61.12349236831276,-141.4611601975309
119,dc,0,G218695E60795N,1140938508,126.829,0,0,0,967753680,Logan Glacier,e,e,1141171157,"-141.270897,60.869274",-141.270897,60.869274,50,61.12349236831276,-141.4611601975309
121,dc,0,G219787E60289N,1176866007,3211.8,0,0,0,967753680,Seward Glacier,e,e,1177014909,"-140.54512,60.10978",-140.54512,60.10978,83,60.182278104972376,-140.91241361325967
122,dc,0,G218294E60050N,1141168958,7.96516,0,0,0,967753680,Beare Glacier,e,e,1141171157,"-141.666534,60.010169",-141.666534,60.010169,83,60.182278104972376,-140.91241361325967
123,dc,0,G219251E60184N,1140039529,764.325,0,0,0,967753680,Agassiz Glacier,e,e,1139973605,"-140.72458,60.09895",-140.72458,60.09895,83,60.182278104972376,-140.91241361325967
124,dc,0,G227620E57248N,1150159394,449.255,0,0,0,1060287075,Baird Glacier,e,e,1150232094,"-132.819608,57.121144",-132.819608,57.121144,39,57.228042888888886,-132.6817888773148
125,dc,0,G227523E57018N,1144692347,85.1219,0,0,0,934416000,Patterson Glacier,e,e,1146029216,"-132.613465,56.979015",-132.613465,56.979015,39,57.228042888888886,-132.6817888773148
126,dc,0,G227523E57018N,1144692347,85.1219,0,0,0,934416000,Patterson Glacier,e,e,1146029216,"-132.646686,56.962335",-132.646686,56.962335,39,57.228042888888886,-132.6817888773148
127,dc,0,G227523E57018N,1144692347,85.1219,0,0,0,934416000,Patterson Glacier,e,e,1146029216,"-132.605093,56.993112",-132.605093,56.993112,39,57.228042888888886,-132.6817888773148
128,dc,0,G227523E57018N,1144692347,85.1219,0,0,0,934416000,Patterson Glacier,e,e,1146029216,"-132.558787,57.008161",-132.558787,57.008161,39,57.228042888888886,-132.6817888773148
129,dc,0,G227523E57018N,1144692347,85.1219,0,0,0,934416000,Patterson Glacier,e,e,1146029216,"-132.541004,56.998442",-132.541004,56.998442,39,57.228042888888886,-132.6817888773148
130,dc,0,G227523E57018N,1144692347,85.1219,0,0,0,934416000,Patterson Glacier,e,e,1146029216,"-132.626376,56.964324",-132.626376,56.964324,39,57.228042888888886,-132.6817888773148
131,dc,0,G227420E57260N,1142445631,49.3846,0,0,0,1060287075,Oasis Glacier,e,e,1143517039,"-132.624582,57.219964",-132.624582,57.219964,39,57.228042888888886,-132.6817888773148
133,dc,0,G227620E57248N,1150159394,449.255,0,0,0,1060287075,Baird Glacier,e,e,1150232094,"-132.648983,57.185559",-132.648983,57.185559,39,57.228042888888886,-132.6817888773148
134,dc,0,G227620E57248N,1150159394,449.255,0,0,0,1060287075,Baird Glacier,e,e,1150232094,"-132.572345,57.197612",-132.572345,57.197612,39,57.228042888888886,-132.6817888773148
135,dc,0,G227620E57248N,1150159394,449.255,0,0,0,1060287075,Baird Glacier,e,e,1150232094,"-132.814022,57.115611",-132.814022,57.115611,39,57.228042888888886,-132.6817888773148
136,dc,0,G227420E57260N,1142445631,49.3846,0,0,0,1060287075,Oasis Glacier,e,e,1143517039,"-132.541893,57.294306",-132.541893,57.294306,39,57.228042888888886,-132.6817888773148
137,dc,0,G227620E57248N,1150159394,449.255,0,0,0,1060287075,Baird Glacier,e,e,1150232094,"-132.66379,57.169409",-132.66379,57.169409,39,57.228042888888886,-132.6817888773148
138,dc,0,G227620E57248N,1150159394,449.255,0,0,0,1060287075,Baird Glacier,e,e,1150232094,"-132.570061,57.148186",-132.570061,57.148186,39,57.228042888888886,-132.6817888773148
139,dc,0,G227620E57248N,1150159394,449.255,0,0,0,1060287075,Baird Glacier,e,e,1150232094,"-132.623854,57.157333",-132.623854,57.157333,39,57.228042888888886,-132.6817888773148
