glac_name,lat,lng
878,63.083462,-151.103881
879,63.079789,-151.101829
880,63.080301,-151.096549
881,63.077932,-151.107075
882,63.006266,-151.503582
883,62.681603,-151.855189
897,63.120127,-150.71911
9,62.554058999999995,-151.6018845
902,62.872577,-151.665775
909,63.360101,-149.872957
91,61.9717925,-149.664907
914,63.132595,-151.145352
915,63.095382,-151.059603
916,63.134204,-151.172164
917,63.150139,-151.00163
918,63.062005,-151.111283
919,63.059476,-151.127214
920,63.054781,-151.133534
921,62.994684,-151.262351
922,62.994599,-151.253087
923,61.0117525,-143.75947050000002
924,61.007284999999996,-143.71913999999998
925,61.003907999999996,-143.7253025
926,62.978236,-151.177821
927,62.952823,-151.094548
928,63.017633,-150.797681
929,63.008722,-150.838818
930,63.049816,-150.913175
931,63.051274,-150.898375
932,61.0367785,-143.64039
933,61.0386565,-143.65035
934,63.020748,-150.889199
935,61.0341535,-143.6397105
936,63.011773000000005,-150.8780435
937,63.009697,-150.882032
938,61.0268885,-143.607552
939,61.033921,-143.64284450000002
94,62.911739,-150.77285799999999
940,62.9959,-150.924742
941,61.056149000000005,-143.6714665
942,61.057186,-143.678475
943,61.051019,-143.6820235
944,61.0502355,-143.6858365
945,63.023508,-150.934963
946,63.019775,-150.970593
947,63.020374,-150.981093
948,63.011526,-150.987667
949,63.00271,-150.969315
950,62.957222,-151.003636
951,62.954793,-151.022643
952,62.664323,-152.0232
954,62.752808,-151.962082
955,60.9278855,-144.2725385
956,60.9266925,-144.2919455
957,62.739384,-152.087155
958,62.709506,-152.090068
959,62.864942,-151.485472
960,62.859624,-151.424123
961,62.854011,-151.375841
962,62.726541,-151.722375
963,62.76972,-151.742423
965,63.137047,-150.845477
966,63.139023,-150.884997
967,63.134776,-150.846714
968,63.135032,-150.841567
969,63.1256,-150.876195
97,62.619077,-151.54814
970,63.124038,-150.881077
971,63.148527,-150.571304
972,63.11046,-150.794866
973,63.092899,-150.803223
974,63.173357,-150.627335
975,63.171987,-150.61762
976,63.205888,-150.655145
977,63.189564,-150.670248
978,63.188843,-150.668446
979,63.187313,-150.671661
98,62.61634,-151.528678
980,61.156858,-143.480702
981,63.190987,-150.626427
982,63.180224,-150.606284
983,63.173551,-150.616224
984,63.173093,-150.788613
985,61.1346045,-143.4840395
986,61.125131499999995,-143.543293
987,61.120152000000004,-143.5546135
988,63.127944,-150.830128
989,63.090623,-150.811131
990,63.091091,-150.813449
991,63.088713,-150.818957
992,63.081703,-150.841631
993,63.080037,-150.85358
994,63.076895,-150.752079
995,62.995087,-150.44448
996,60.980337,-143.4352275
997,61.0303845,-143.510951
998,61.017849999999996,-143.5379815
999,63.096836,-150.572774
Adams Glacier,49.81055885714285,-125.615023
Addison Glacier,59.935899199999994,-149.7895748
Agassiz Glacier,53.74762571428572,-125.55328214285714
Ahern Glacier,48.8455405,-113.78277650000001
Aho Glacier,60.8131275,-152.655331
Aialik Glacier,60.01000342857143,-149.8728604285714
Alexander Glacier,59.879386,-139.409562
Allen Glacier,60.76701787700535,-144.84358594919786
Alsek Glacier,59.300589,-137.822078
Amherst Glacier,61.008116,-147.81550111428572
Anchor Glacier,59.7973805,-150.11354599999999
Anderson Glacier,55.7623413,-137.37156099999999
Andrews Glacier,45.60604714285714,-114.44544385714286
Annin Glacier,61.108358599999995,-146.6887944
Ape Glacier WA,46.202752,-122.174787
Applegate Glacier,60.45600658823529,-148.59447958823532
Arapaho Glacier,40.02464,-105.645211
Arey Glacier,69.250774,-143.868943
Arikaree Glacier,40.049644,-105.64236199999999
Arriva Peak,48.5523595,-120.849628
Art Lewis Glacier,59.9154125,-138.811704
Arts Knoll,48.432163,-121.042693
Atrevida Glacier,59.985951,-139.738583
Avalanche Glacier,46.203211,-121.500384
BALTIMORE,61.316021,-147.798565
Baby Glacier,54.44286044444445,-131.74172344444443
Bacon Glacier,58.663828625,-133.81448425
Bainbridge Glacier,60.12195152380952,-148.46094133333332
Baird Glacier,57.18028835714286,-132.53494542857143
Baker Glacier,61.08319,-148.37273150000001
Baldwin Glacier,58.913611,-136.37989850000002
Baltimore Glacier,61.304889606060605,-147.76814672727275
Banded Glacier,48.538884,-120.948287
Barnard Glacier,61.20739325,-147.117984375
Barrier Glacier,61.288271,-152.295839
Barry Glacier,61.182611572727275,-148.07811504545455
Bartlett Glacier,60.62401735087719,-148.9726516491228
Bastile Glacier,48.8064105,-121.83758
Battle Glacier,58.69611975,-134.588273375
Bear Glacier,60.11637433333333,-149.74470833333334
Bear Lake Glacier,60.17184558333333,-149.255430875
Beare Glacier,60.03440966666667,-141.68670233333333
Beartooth Glacier,45.0638335,-109.56636950000001
Beloit Glacier,60.6395318,-148.68487184999998
Bench Glacier,61.055641,-145.703532
Bend Glacier,44.08711125,-121.695328
Benson Glacier,45.1568275,-117.2946755
Bering Glacier,60.37279457692308,-142.85176407692308
Bertha Glacier,59.196445499999996,-135.793981
Bettles Glacier,60.93783583333334,-148.40754866666666
Billings Glacier,60.88652948,-148.57930624
Bird Glacier,61.01043675,-149.28349225
Black Glacier,59.985922,-139.653868
Black Peak,48.524452499999995,-120.80941849999999
Black Rapids Glacier,63.462205999999995,-146.48929550000003
Black and Tan Glacier,61.6935755,-152.6382475
Blackfoot Glacier,48.59353525,-113.6624215
Blackstone Glacier,60.665692210526316,-148.73098210526317
Blackwell Glacier,48.230087,-115.6855765
Blockade Glacier,61.103061499999995,-152.522853
Blossom Glacier,60.02816766666667,-140.08155266666668
Blue Glacier,47.95484257142857,-122.92568142857144
Bolam Glacier,41.428396,-122.20496133333334
Borealis Glacier,48.5885792,-121.0911252
Boston Glacier,48.5140875,-121.02477400000001
Boulder Glacier,48.8644865,-117.94319475
Boundary Glacier,56.099022,-130.153246
Brady Glacier,58.4962844,-136.6926202
Bravo Glacier,69.264681,-143.820019
Bridge Glacier,58.3715375,-133.61506250000002
Brilliant Glacier,61.13849166666666,-147.41711566666666
Bryn Mawr Glacier,61.24207316071429,-147.82224835714285
Buckner Glacier,48.48591033333333,-120.99515666666667
Bull Lake Glacier,43.11923575,-109.59337125
Burns Glacier,60.721432954545456,-148.72606145454546
Burroughs Glacier,58.99771366666666,-136.31463466666665
Butler Glacier,59.915132,-139.026435
Butterfly Glacier,48.0757206,-121.007251
Byron Glacier,60.740928000000004,-148.852185
CA,37.52855451053159,-119.0573462778335
CO,40.086379948453605,-106.08242003092782
Caldwell Glacier,62.41715966666667,-152.695472
Cameron Glaciers,47.82755125,-123.32650083333334
Cameron Glaciers WA,47.826539499999996,-123.313034
Camicia Glacier,61.1922045,-145.9876585
Camp Kiser,48.8071385,-121.7230635
Cantwell Glacier,63.45509633333333,-149.42544866666665
Canwell Glacier,63.3652435,-145.5132875
Canyon Glacier,59.288649,-138.372634
Cap Glacier,60.950492714285716,-147.90531928571428
Capps Glacier,61.4441485,-152.21050350000002
Carbon Glacier,46.91017466666667,-121.78393
Carl Glacier,62.112907,-141.486983
Carrie Glacier,47.8925345,-123.6323005
Carrie Glacier WA,47.90206633333333,-123.642893
Carroll Glacier,59.1740944,-136.70830719999998
Carter Glaciers,48.8837575,-114.03679875
Carver Glacier,44.1265625,-121.7682025
Carver Glacier OR,44.119377,-121.765693
Cascade Glacier,61.025250127659575,-147.7234240638298
Cascade Peak,48.464534,-121.0770335
Cascading Glacier,59.811554,-139.084874
Casement Glacier,59.100167,-135.90781666666666
Casey Glacier,56.029888,-130.194635
Castle Rock Glacier,45.092592249999996,-109.65817925
Castner Glacier,63.495331,-145.4982455
Cataract Glacier,61.028141833333336,-148.42231616666666
Ch'atanalch'elt Li'a,61.3241055,-152.12669
Challenger Glacier,48.8457605,-121.3522955
Chamberlain Glacier,59.376501,-138.653193
Chamberlin Glacier,69.294582,-144.943863
Chaney Glacier,48.8525495,-113.829317
Charpentier Glacier,58.6707635,-136.62133699999998
Chedotlothna Glacier,62.877070333333336,-151.876869
Chenega Glacier,60.303928285714285,-148.46398478571427
Chernof Glacier,59.876424083333326,-150.4566345
Cheshnina Glacier,61.929949,-144.083382
Chetaslina Glacier,62.00911,-144.061764
Chichokna Glacier,62.011828,-144.228284
Chickaloon Glacier,62.093719,-148.40148
Chickamin Glacier,52.2370885,-125.65318124999999
Chigmit North Glacier,60.290936,-153.421898
Chigmuit South Glacier,60.226079,-153.485519
Chikuminuk Glacier,60.139466,-159.265778
Childs Glacier,60.680955512,-144.87201612799998
Chilkat Glacier,59.770642,-135.56155
Chisana Glacier,62.019105,-142.228426
Chistochina Glacier,63.235598,-144.660771
Chitina Glacier,61.30657,-140.997349
Chitistone Glacier,61.494977,-142.063528
Chocolate Glacier,48.1164755,-121.09636499999999
Clara Smith Glacier,56.274805,-130.49491899999998
Claremont Glacier,60.50634544444444,-148.72122222222222
Clark Glacier,47.866208,-124.05850883333333
Clear Glacier,61.05945,-149.158541
Cleave Creek Glacier,61.13295881818181,-145.19930777272728
Coal Glacier,60.208476,-141.237981
Coalman Glacier,45.372704,-121.70011199999999
Coe Glacier,45.3919935,-121.6959435
Colchuck Glacier,47.482189000000005,-120.839309
Coleman Glacier,48.7899935,-121.872626
Coleman Pinnacle,48.8257585,-121.73249799999999
College Glacier,63.262508,-145.356073
Collier Glacier,44.16575533333333,-121.78677233333333
Colonial Glacier,48.6636615,-121.13592550000001
Colony Glacier,61.15960653846154,-148.38504538461538
Columbia Glacier,61.22160361694915,-146.7225601039548
Columbia Peak,47.960535,-121.3581595
Company Glacier,48.248360500000004,-120.86455725
Concordia Glacier,60.70269847058824,-148.73935441176468
Cone Glacier,56.234356,-159.33941
Conness Glacier,37.9689825,-119.3200085
Connie Glacier,43.2680295,-109.6942355
