Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,12/1/2014,52.53,IL,Illinois
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,12/1/2014,52.53,MD,Maryland
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,12/1/2014,52.53,SC,South Carolina
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,12/1/2014,52.53,NE,Nebraska
Martin Glacier,Exists,6.17622,,59.28128,-138.495999,8/1/2007,55.43,AK,Alaska
Martin River Glacier,Exists,349.102,,60.51844,-144.01596,3/1/2007,37.13,AK,Alaska
Marvine/Hayden Glacier,Exists,297.56,,59.96069,-140.10202,8/1/2007,55.43,AK,Alaska
Mary Green Glacier,Exists,0.563629,,48.238557,-120.851729,8/1/2006,56.8,WA,Washington
Matanuska Glacier,Exists,308.689,,61.589221,-147.743355,7/1/2015,52.96,AK,Alaska
Matthes Glaciers CA,Exists,0.022922,,37.225721,-118.754608,8/1/2006,56.8,AZ,Arizona
Matthes Glaciers CA,Exists,0.022922,,37.225721,-118.754608,8/1/2006,56.8,CA,California
Maynard Glacier,Exists,4.94587,,58.701988,-136.626743,1/1/2010,30.67,AK,Alaska
Mazama Glacier,Exists,1.40567,,46.19091,-121.485616,8/1/2006,56.8,WA,Washington
McAllister Glacier,Exists,4.97085,,48.552816,-121.107462,8/1/2006,56.8,WA,Washington
McArthur Glacier,Exists,15.7623,,61.110265,-152.444387,7/1/2015,52.96,AK,Alaska
McBride Glacier,Exists,118.675,,59.212235,-136.103276,1/1/2010,30.67,AK,Alaska
McCall Glacier,Exists,1.28371,,46.516928,-121.447643,8/1/2006,56.8,WA,Washington
McCall Glacier,Exists,1.28371,,46.516928,-121.447643,8/1/2006,56.8,IA,Iowa
McCallum Glacier,Exists,0.812216,,63.308961,-145.615024,7/1/2015,52.96,AK,Alaska
McCarty Glacier,Exists,1.02122,,59.861376,-139.424756,7/1/2015,52.96,AK,Alaska
McCune Glacier,Exists,9.32884,,60.843644,-144.848869,12/1/2014,52.53,AK,Alaska
McDonald Glacier,Exists,0.461456,,47.392268,-113.915478,8/1/2006,56.8,MT,Montana
McGinnis Glacier,Exists,15.1527,,63.586836,-146.13298,5/1/2010,43.83,AK,Alaska
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,12/1/2014,52.53,AK,Alaska
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,12/1/2014,52.53,AL,Alabama
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,12/1/2014,52.53,NC,North Carolina
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,12/1/2014,52.53,NM,New Mexico
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,12/1/2014,52.53,IL,Illinois
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,12/1/2014,52.53,MD,Maryland
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,12/1/2014,52.53,SC,South Carolina
McPherson Glacier,Exists,20.5675,,60.539987,-144.611785,12/1/2014,52.53,NE,Nebraska
Meade,Exists,461.384,,59.288715,-134.820603,7/1/2015,52.96,AK,Alaska
Meade Glacier,Exists,0.57732,,46.490138,-121.397043,8/1/2006,56.8,WA,Washington
Meade Glacier,Exists,0.57732,,46.490138,-121.397043,8/1/2006,56.8,IA,Iowa
Meares Glacier,Exists,119.263,,61.146463,-147.511129,12/1/2014,52.53,AK,Alaska
Melbern Glacier,Exists,495.686,,59.06968,-137.04334,4/1/2007,40.49,AK,Alaska
Mendenhall Glacier,Exists,95.8845,,58.55253,-134.44304,5/1/2005,45.09,AK,Alaska
Mendenhall Glacier,Exists,95.8845,,58.55253,-134.44304,5/1/2005,45.09,WI,Wisconsin
Mesahchie Glacier,Exists,0.52394,,48.585445,-120.876222,8/1/2006,56.8,WA,Washington
Metal Creek Glacier,Exists,3.11699,,61.638837,-148.314071,7/1/2015,52.96,AK,Alaska
Miche Wabun Glacier,Exists,0.202087,,48.945657,-113.836229,8/1/2006,56.8,MT,Montana
Middle Cascade Glacier,Exists,1.27478,,48.41771,-121.050537,8/1/2006,56.8,WA,Washington
Middle Palisade Glacier,Exists,0.34665,,37.070972,-118.456867,8/1/2006,56.8,CA,California
Middle Teton Glacier,Exists,0.212963,,43.728931,-110.798048,8/1/2006,56.8,WY,Wyoming
Miles Glacier,Exists,382.882,,60.67431,-144.58396,4/1/2007,40.49,AK,Alaska
Milk Creek Glacier,Exists,0.038664,,44.673894,-121.800158,8/1/2006,56.8,OR,Oregon
Milk Glacier,Exists,1.88446,,61.044842,-149.067788,12/1/2014,52.53,AK,Alaska
Milk Glacier,Exists,1.88446,,61.044842,-149.067788,12/1/2014,52.53,KY,Kentucky
Milk Lake Glacier,Gone,0.223326,747532800,48.148149,-121.148716,8/1/2006,56.8,WA,Washington
Mills Glacier,Exists,0.03093,,40.255631,-105.611699,4/1/2016,43.09,CO,Colorado
Mineral Creek Glacier,Exists,3.84712,,61.270924,-146.294852,12/1/2014,52.53,AK,Alaska
Mineral Creek Glacier,Exists,3.84712,,61.270924,-146.294852,12/1/2014,52.53,CO,Colorado
